 2600           1
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.42564     0.37954 1.65680E-06          90.262         212.059
 220.0     0.55547     0.37600 3.73017E-06         118.465         213.270
 240.0     0.71099     0.36927 3.96908E-06         153.268         215.571
 260.0     0.86220     0.35622 7.50795E-06         189.710         220.032
 280.0     1.00058     0.33702 1.45593E-05         226.724         226.591
 300.0     1.06804     0.31029 1.90819E-05         251.768         235.729
 320.0     1.07609     0.28112 1.14061E-04         264.394         245.699
 340.0     1.07200     0.25949 1.99708E-03         271.313         253.089
 360.0     1.06104     0.24401 7.47152E-02         274.154         258.382
 380.0     1.05957     0.23650 2.89513E-01         276.493         260.948
 400.0     1.06639     0.23752 5.08837E-01         277.899         260.599
 420.0     1.07974     0.24460 6.70553E-01         278.767         258.181
 440.0     1.09482     0.25365 7.78154E-01         279.272         255.085
 460.0     1.10968     0.26283 8.49676E-01         279.585         251.951
 480.0     1.12210     0.27035 8.91268E-01         279.828         249.378
 500.0     1.13045     0.27536 9.18847E-01         279.975         247.668
 520.0     1.13623     0.27870 9.40632E-01         280.109         246.524
 540.0     1.13908     0.28032 9.54886E-01         280.183         245.973
 600.0     1.14407     0.28265 9.69314E-01         280.497         245.175
 720.0     1.14475     0.28281 9.64714E-01         280.601         245.120
 850.0     1.14450     0.28331 9.50983E-01         280.345         244.949
1060.0     1.14112     0.28135 9.31156E-01         280.283         245.621
1200.0     1.13718     0.27850 9.14777E-01         280.420         246.593
1400.0     1.14569     0.27469 8.91991E-01         284.013         247.896
1500.0     1.16726     0.27315 8.60395E-01         289.972         248.421
1600.0     1.21666     0.27075 9.47634E-01         303.241         249.242
1800.0     1.48440     0.26776 8.66125E-01         371.494         250.265
2000.0     2.27121     0.26574 9.13792E-01         569.969         250.954
 
 7200          24
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.42825     0.38332 1.65680E-06          90.262         210.770
 220.0     0.55892     0.37986 3.73017E-06         118.465         211.952
 240.0     0.71581     0.37352 3.96908E-06         153.268         214.118
 260.0     0.86884     0.36114 7.50795E-06         189.710         218.349
 280.0     1.00931     0.34276 1.45593E-05         226.724         224.633
 300.0     1.07863     0.31706 1.90819E-05         251.768         233.414
 320.0     1.08789     0.28892 1.14061E-04         264.394         243.034
 340.0     1.08444     0.26798 1.99708E-03         271.313         250.188
 360.0     1.07401     0.25314 7.47152E-02         274.154         255.261
 380.0     1.07338     0.24632 2.89513E-01         276.493         257.592
 400.0     1.08137     0.24809 5.08837E-01         277.899         256.987
 420.0     1.09615     0.25591 6.70553E-01         278.767         254.315
 440.0     1.11265     0.26562 7.78154E-01         279.272         250.997
 460.0     1.12878     0.27530 8.49676E-01         279.585         247.687
 480.0     1.14221     0.28320 8.91268E-01         279.828         244.988
 500.0     1.15124     0.28844 9.18847E-01         279.975         243.195
 520.0     1.15749     0.29195 9.40632E-01         280.109         241.998
 540.0     1.16058     0.29365 9.54886E-01         280.183         241.416
 600.0     1.16593     0.29610 9.69314E-01         280.497         240.578
 720.0     1.16666     0.29628 9.64714E-01         280.601         240.517
 850.0     1.16644     0.29679 9.50983E-01         280.345         240.343
1060.0     1.16291     0.29481 9.31156E-01         280.283         241.019
1200.0     1.15879     0.29196 9.14777E-01         280.420         241.994
1400.0     1.16733     0.28814 8.91991E-01         284.013         243.300
1500.0     1.18925     0.28659 8.60395E-01         289.972         243.828
1600.0     1.23945     0.28416 9.47634E-01         303.241         244.658
1800.0     1.51200     0.28112 8.66125E-01         371.494         245.697
2000.0     2.31324     0.27908 9.13792E-01         569.969         246.395
 
